,ReviewID,Cochrane_Title
0,CD002112,Desmopressin tablets in the treatment of severe nocturnal enuresis in adolescents
1,CD003019,Do bulk preparations help in cases of recurrent abdominal pain in children? A controlled study
2,CD006005,A randomized study of adefovir dipivoxil in place of HBIG in combination with lamivudine as post-liver transplantation hepatitis B prophylaxis
3,CD004964,Cardiovascular effects of 0.5 milligrams per kilogram oral d-amphetamine and possible attenuation by haloperidol
4,CD003167,Twelve-month results of an ongoing randomized trial comparing brimonidine tartrate 0.2% and timolol 0.5% given twice daily in patients with glaucoma or ocular hypertension
5,CD000560,Can midwives reduce postpartume psychological morbidity? A randomized trial
6,CD003955,Clinical trial of naloxone in birth asphyxia
7,CD000016,"Comparative efficacy of chloroquine and amodiaquine (25 and 35 mg/kg) in P. falciparum-infected school-age children (Brazzaville, March 1990)"
8,CD005138,Interferon alfa-2a is ineffective for patients with choroidal neovascularization secondary to age-related macular degeneration. Results of a prospective randomized placebo-controlled clinical trial
9,CD010179,Comparison of intravenous terbutaline versus normal saline in pediatric patients on continuous high-dose nebulized albuterol for status asthmaticus
10,CD005940,Prediction of preterm birth
11,CD002992,Osmotic release oral drug delivery system of metoprolol in hypertensive asthmatic patients. Pharmacodynamic effects on beta 2-adrenergic receptors
12,CD008987,"Comparison between radial head replacement and open reduction and internal fixation in clinical treatment of unstable, multi-fragmented radial head fractures"
13,CD009518,The effects of soy-derived phytoestrogens on serum lipids and lipoproteins in moderately hypercholesterolemic postmenopausal women
14,CD007482,Bacteriologic effects of antibiotic prophylaxis in high-risk cesarean section
15,CD000360,Clinical pregnancy and male subfertility; the ESHRE multicentre trial on the treatment of male subfertility
16,CD003752,Comparison of outcome measures in patients with advanced squamous cell carcinoma of the vulva treated with surgery or primary chemoradiation
17,CD007406,"Treatment of (""bulky"") stage IB cervical cancer with or without neoadjuvant vincristine and cisplatin prior to radical hysterectomy and pelvic/para-aortic lymphadenectomy: a phase III trial of the gynecologic oncology group"
18,CD001765,"Placebo-controlled, multicenter study of sertraline treatment for obsessive-compulsive disorder"
19,CD003132,Effect of ultrasound on mobility in osteoarthritis of the knee
20,CD009987,Implementing antiretroviral therapy in rural communities: the Lusikisiki model of decentralized HIV/AIDS care
21,CD001218,Efficacy of acupuncture for the prophylaxis of migraine: a multicentre randomised controlled clinical trial
22,CD006315,The ischemic preconditioning paradox in deceased donor liver transplantation-evidence from a prospective randomized single blind clinical trial
23,CD004149,Effects of constraint-induced movement therapy in young children with hemiplegic cerebral palsy: an adapted model
24,CD000284,Comprehensive clinical studies with thiothixene
25,CD006216,The influence of calcium mupirocin nasal ointment on the incidence of Staphylococcus aureus infections in haemodialysis patients
26,CD003639,The synergistic effect of miglitol plus metformin combination therapy in the treatment of type 2 diabetes
27,CD004896,Proteolytic enzyme activity in patients with severe head injury and the effect of a proteinase inhibitor
28,CD004962,A new method of immobilization after traumatic anterior dislocation of the shoulder: A preliminary study
29,CD007146,Preventive home visits to elderly people in the community. Visits are most useful for people aged >75 [letter]
30,CD008948,Effect of MTAD on postoperative discomfort: a randomized clinical trial
31,CD001732,Treatment of varicose and telangiectatic leg veins: double-blind prospective comparative trial between aethoxysklerol and sotradecol
